Compound,Compound Class,Composite (Y or N),Oxided or nitrided,Presence of Carbon,Carbon Structures,N-doped Carbon Structure (0 or 1),Doping (other than TMs),Morphology Category,Grown on,"Porous - 1, Non-Porous - 0",Substrates,Presence of atoms (other than TMs),Cobalt atoms,Nickel atoms,Iron atoms,Molybdenum atoms,Manganese atoms,Copper atoms,Zinc atoms,Chromium Atoms,Vanadium Atoms,Tungsten atoms,Titanium atoms,Average d electrons,pH,Concentration Electrolyte,Catalyst Loading (mg/cm2),Overpotential (mV)
C/ZnCo2O4/ZnO/CF,Co,1,0,1,1,0,0,4,2,0,carbon_based,0,2,0,0,0,0,0,2,0,0,0,0,6,14,1,,279
Co3N-NC-2h,Co,1,1,1,3,1,0,6,0,1,carbon_based,0,3.7,0,0,0,0,0,0,0,0,0,0,5.243445693,14,1,2.6,280
CoN/CC,Co,1,1,1,3,0,0,6,2,0,carbon_based,0,1,0,0,0,0,0,0,0,0,0,0,5.25,14,1,2.3,280
Co2N0.67 - GN,Co,1,1,1,2,0,0,6,2,0,GC,0,2,0,0,0,0,0,0,0,0,0,0,,14,1,0.459,280
CoOx /CoNy @CN,Co,1,1,1,2,1,0,3,0,1,GC,0,2,0,0,0,0,0,0,0,0,0,0,,14,1,0.288,280
P-Co3O4,Co,1,0,0,0,0,1,7,3,0,TM_based,15,3,0,0,0,0,0,0,0,0,0,0,,14,1,0.4,280
NiCo2O3@OMC,Co,1,0,1,3,0,0,3,2,1,GC,0,2,1,0,0,0,0,0,0,0,0,0,4.5,14,1,0.567,281
Co4N/CC,Co,1,1,1,3,0,0,2,2,1,carbon_based,0,4,0,0,0,0,0,0,0,0,0,0,5.25,13,0.1,0.82,283
NiCo2O4/NF,Co,1,0,0,0,0,0,7,1,1,NF,0,2,1,0,0,0,0,0,0,0,0,0,,14,1,0.6,284
M-Co3N@AN-C NCs,Co,1,1,1,3,1,0,6,0,1,carbon_based,0,3,0,0,0,0,0,0,0,0,0,0,,14,1,,285
Mn-CoN/CFC,Co,1,1,1,3,0,0,2,2,1,carbon_based,0,0.85,0,0,0,0.15,0,0,0,0,0,0,,7.6,1,,285
Co3O4@CoS,Co,1,0,0,0,0,1,4,1,0,GC,16,2.91,0,0,0,0,0,0,0,0,0,0,,14,1,1,289
MnCo2O4/NF,Co,1,0,0,0,0,0,6,1,1,NF,0,2,0,0,0,1,0,0,0,0,0,0,5.142857143,14,1,,289
Co-Fe-N@MWCNT,Co,1,1,1,1,1,0,3,2,0,GC,0,3.61,0,1,0,0,0,0,0,0,0,0,5.243445693,14,1,0.24,290
Co2N0.67 - MPC,Co,1,1,1,3,0,0,6,2,1,GC,0,2,0,0,0,0,0,0,0,0,0,0,2.428571429,14,1,0.459,290
CoN/NF,Co,1,1,0,0,0,0,2,1,1,NF,0,1,0,0,0,0,0,0,0,0,0,0,,14,1,1.5,290
CoN/NF,Co,1,1,0,0,0,0,2,1,1,NF,0,1,0,0,0,0,0,0,0,0,0,0,5.6,14,1,1.5,290
NiCo2N/NF,Co,1,1,0,0,0,0,7,1,1,NF,0,2,1,0,0,0,0,0,0,0,0,0,,14,1,,290
Co3O4/C,Co,1,0,1,3,0,0,2,3,1,TM_based,0,3,0,0,0,0,0,0,0,0,0,0,,13,0.1,0.2,290
P-Co3O4,Co,1,0,0,0,0,1,7,3,0,TM_based,15,3,0,0,0,0,0,0,0,0,0,0,,13,0.1,0.4,291
Co-Mo-N-PHP,Co,1,1,1,3,0,0,7,2,1,GC,0,0.95,0,0,0.18,0,0,0,0,0,0,0,6,14,1,0.269,294
NiO/CoN,Co,1,1,1,1,0,0,2,2,1,carbon_based,0,1,1,0,0,0,0,0,0,0,0,0,2.857,14,1,0.2,300
CoN/NF,Co,1,1,0,0,0,0,7,1,1,NF,0,1,0,0,0,0,0,0,0,0,0,0,6,14,1,,300
CoWO/NF,Co,1,0,0,0,0,0,6,1,1,NF,0,4,0,0,0,0,0,0,0,0,6,0,1.25,14,1,,300
Co3O4@Co3O4,Co,1,0,0,0,0,0,4,1,1,GC,0,3.37,0,0,0,0,0,0,0,0,0,0,,14,1,1,301
Co–Mo2N,Co,1,1,0,0,0,0,2,0,0,GC,0,1,0,0,2,0,0,0,0,0,0,0,,14,1,0.7077,302
Co4N-VN1-xOx/CC,Co,1,1,1,3,0,0,7,2,1,carbon_based,0,4.41,0,0,0,0,0,0,0,1,0,0,1.880952381,14,1,1.71,303
Co3O4/RuO2,Co,1,0,0,0,0,1,6,0,0,GC,44,3,0,0,0,0,0,0,0,0,0,0,,14,1,0.285,305
Co-Mo-N-PHS,Co,1,1,1,3,0,0,6,2,1,GC,0,1.09,0,0,0.23,0,0,0,0,0,0,0,2.428571429,14,1,0.269,306
Co/CoN-NC,Co,1,1,1,3,1,0,3,0,1,GC,0,0.1151,0,0,0,0,0,0,0,0,0,0,5.166666667,14,1,0.35,306
Co3O4,Co,1,0,0,0,0,0,3,0,0,NF,0,3,0,0,0,0,0,0,0,0,0,0,3.5,14,1,1,308
NiCo2O4/NF,Co,1,0,0,0,0,0,2,1,1,NF,0,2,1,0,0,0,0,0,0,0,0,0,5.25,14,1,1,308
CoNx@NC,Co,1,1,0,0,1,0,7,0,1,carbon_based,0,1,0,0,0,0,0,0,0,0,0,0,,14,1,2,310
Co4N/CNW/CC,Co,1,1,1,1,1,0,3,2,1,carbon_based,0,4,0,0,0,0,0,0,0,0,0,0,5.243445693,14,1,,310
Au/CoNx,Co,1,1,0,0,0,1,7,3,1,GC,79,1,0,0,0,0,0,0,0,0,0,0,2.428571429,14,1,7.25,310
PF/Ni1.5Co1.5N (NIA),Co,1,1,0,0,0,1,2,0,1,GC,15,1.5,1.5,0,0,0,0,0,0,0,0,0,,14,1,0.27,310
Co2N0.67 - CNT,Co,1,1,1,1,0,0,6,2,0,GC,0,2,0,0,0,0,0,0,0,0,0,0,,14,1,0.459,310
Co3O4/N-rmgo,Co,1,0,1,4,1,0,6,2,0,NF,0,3,0,0,0,0,0,0,0,0,0,0,3.5,14,1,1,310
NiCo2O4@NiWO4,Co,1,0,0,0,0,0,2,1,1,NF,0,2,2,0,0,0,0,0,0,0,1,0,4.25,14,1,,310
Co4N-VN1-xOx/CC,Co,1,1,1,3,0,0,7,2,1,carbon_based,0,3,0,0,0,0,0,0,0,1,0,0,,14,1,1.94,311
CoN/CFC,Co,1,1,1,3,0,0,2,2,1,carbon_based,0,1,0,0,0,0,0,0,0,0,0,0,5.6,14,1,,312
CoMoO4,Co,1,0,0,0,0,0,6,0,1,GC,0,1,0,0,1,0,0,0,0,0,0,0,3.928571429,14,1,0.285,312
ZnCo2O4/ZnO/CF,Co,1,0,1,1,0,0,4,2,0,carbon_based,0,2,0,0,0,0,0,2,0,0,0,0,2.428571429,14,1,,313
Co-N-NC,Co,1,1,1,3,1,0,6,0,1,carbon_based,0,1,0,0,0,0,0,0,0,0,0,0,2.428571429,14,1,2.6,318
Ir/Co4N,Co,1,1,0,0,0,0,4,0,0,GC,0,4,0,0,0,0,0,0,0,0,0,0,5.8,0,0.5,0.152,319
Co3O4/CC,Co,1,0,1,3,0,0,2,2,1,carbon_based,0,3,0,0,0,0,0,0,0,0,0,0,2.8125,14,1,0.82,320
Co3O4/CC,Co,1,0,1,3,0,0,2,2,1,carbon_based,0,3,0,0,0,0,0,0,0,0,0,0,2.428571429,14,1,0.82,320
Co3O4/CC,Co,1,0,1,3,0,0,2,2,1,carbon_based,0,3,0,0,0,0,0,0,0,0,0,0,2.428571429,13,0.1,0.82,320
NiCo2O4,Co,1,0,1,3,0,0,2,2,1,carbon_based,0,2,1,0,0,0,0,0,0,0,0,0,2.428571429,14,1,,320
Co/VN,Co,1,1,0,0,0,0,4,0,1,GC,0,1,0,0,0,0,0,0,0,1,0,0,2.428571429,14,1,0.28,320
Co3O4@C-MWCNT,Co,1,0,1,3,1,0,3,0,1,GC,0,3,0,0,0,0,0,0,0,0,0,0,,14,1,0.325,320
Co3O4/NF,Co,1,0,0,0,0,0,7,1,1,NF,0,3,0,0,0,0,0,0,0,0,0,0,6,14,1,,320
Co3O4/NiCo2O4/NF,Co,1,0,0,0,0,0,4,1,1,NF,0,6.61,1,0,0,0,0,0,0,0,0,0,,13,0.1,1,320
Co3O4  -RMGO,Co,1,0,1,4,0,0,6,2,0,NF,0,3,0,0,0,0,0,0,0,0,0,0,3.5,14,1,1,320
CoN/CFC,Co,1,1,1,3,0,0,2,2,1,carbon_based,0,1,0,0,0,0,0,0,0,0,0,0,2.685714286,14,1,,321
Co3V/VN,Co,1,1,1,3,0,0,7,0,1,GC,0,3,0,0,0,0,0,0,0,2,0,0,6,14,1,0.694,324
NiCo2O4,Co,1,0,1,1,0,0,2,2,0,carbon_based,0,2,1,0,0,0,0,0,0,0,0,0,6,14,1,0.2,325
P-Co3N/Co4N@AN-C NC,Co,1,1,1,3,1,0,6,0,1,carbon_based,0,7,0,0,0,0,0,0,0,0,0,0,,14,1,,325
Co4N/CC,Co,1,1,1,3,0,0,3,2,0,carbon_based,0,4,0,0,0,0,0,0,0,0,0,0,4,14,1,2.45,327
NiCo2O4/NF,Co,1,0,0,0,0,0,6,1,1,NF,0,2,1,0,0,0,0,0,0,0,0,0,0.6666666667,14,1,,330
CoNx/NF,Co,1,1,1,2,0,0,7,1,1,NF,0,1,0,0,0,0,0,0,0,0,0,0,,14,1,3.83,330
CoN,Co,1,1,1,3,0,0,2,2,0,carbon_based,0,1,0,0,0,0,0,0,0,0,0,0,,14,1,1.6,333
Ir@Co4N,Co,1,1,0,0,0,0,2,0,1,GC,0,4,0,0,0,0,0,0,0,0,0,0,3.5,13,0.1,0.285,336
NiCo2O4@MnO2,Co,1,0,0,0,0,0,4,2,1,carbon_based,0,2,1,0,0,1,0,0,0,0,0,0,5.6,14,1,0.6,337
Co4N/NC,Co,1,1,1,1,1,0,2,2,1,carbon_based,0,4,0,0,0,0,0,0,0,0,0,0,2.428571429,14,1,,337
Co4N,Co,1,1,0,0,0,0,3,0,0,carbon_based,0,4,0,0,0,0,0,0,0,0,0,0,2.5,14,1,,339
Co3O4/NF,Co,1,0,0,0,0,0,2,1,1,NF,0,3,0,0,0,0,0,0,0,0,0,0,5.918083462,14,1,1.5,339
CFP/NiCo2O4/ Co0.57Ni0.43 LMO,Co,1,0,1,1,0,0,4,2,1,carbon_based,0,2.57,1.43,0,0,0,0,0,0,0,0,0,5.625,13,0.1,,340
Co3O4,Co,1,0,1,3,0,0,7,3,1,carbon_based,0,3,0,0,0,0,0,0,0,0,0,0,2.57,14,1,,340
Co–Fe–O/rgo,Co,1,0,1,4,0,0,3,0,0,GC,0,2,0,1,0,0,0,0,0,0,0,0,3.5,14,1,0.1,340
N-CG-CoO,Co,1,0,1,3,1,0,6,2,0,GC,0,1,0,0,0,0,0,0,0,0,0,0,,14,1,0.7,340
Co3O4/NiCo2O4,Co,1,0,0,0,0,0,4,0,1,NF,0,5,1,0,0,0,0,0,0,0,0,0,2.428571429,14,1,1,340
NiCo2O4/NF,Co,1,0,0,0,0,0,7,1,1,NF,0,2,1,0,0,0,0,0,0,0,0,0,4.33,14,1,,340
ZnCo2O4/NF,Co,1,0,0,0,0,0,7,1,1,NF,0,2,0,0,0,0,0,1,0,0,0,0,2.571428571,14,1,,340
Co3O4,Co,1,0,0,0,0,0,7,3,0,TM_based,0,3,0,0,0,0,0,0,0,0,0,0,,14,1,0.4,340
Co3O4/CC,Co,1,0,1,3,0,0,2,2,1,carbon_based,0,3,0,0,0,0,0,0,0,0,0,0,,14,1,,341
Co-N@MWCNT,Co,1,1,1,1,1,0,3,2,0,GC,0,4,0,0,0,0,0,0,0,0,0,0,,14,1,0.24,349
NiCo2O4,Co,1,0,1,3,0,0,2,2,1,carbon_based,0,2,1,0,0,0,0,0,0,0,0,0,,13,0.1,,350
P-Co4N/CNW/CC,Co,1,1,1,3,0,0,8,0,0,carbon_based,0,4,0,0,0,0,0,0,0,0,0,0,2.57,14,1,,350
Co–Fe–O/rgo,Co,1,0,1,4,0,0,3,0,0,GC,0,4,0,1,0,0,0,0,0,0,0,0,5,14,1,0.1,350
CoMnON/n-rgo,Co,1,1,1,4,1,0,3,2,1,GC,0,1,0,0,0,0.05,0,0,0,0,0,0,,14,1,0.27,350
Co3O4/NF,Co,1,0,0,0,0,0,7,1,1,NF,0,3,0,0,0,0,0,0,0,0,0,0,,14,1,0.3,350
NiCo2O4/NF,Co,1,0,0,0,0,0,2,1,1,NF,0,2,1,0,0,0,0,0,0,0,0,0,3.5,14,1,3,350
Co4N/CC,Co,1,1,1,3,0,0,3,2,1,carbon_based,0,4,0,0,0,0,0,0,0,0,0,0,2.71,14,1,,360
NiCoN/CC,Co,1,1,1,3,0,0,2,2,1,carbon_based,0,1,1,0,0,0,0,0,0,0,0,0,5,14,1,,360
NiCo2O4/NiO,Co,1,0,0,0,0,0,7,0,0,GC,0,2,2,0,0,0,0,0,0,0,0,0,0.5,14,1,1.06,360
CuCo2O4/NrGO,Co,1,0,1,4,1,0,3,0,0,GC,0,2,0,0,0,0,1,0,0,0,0,0,,14,1,0.14,360
TiN@Ni0.27Co2.73O4,Co,1,1,0,0,0,0,4,3,1,TM_based,0,2.73,0.27,0,0,0,0,0,0,0,0,1,4,14,1,0.39,360
NiCo2O,Co,1,0,0,0,0,0,6,0,1,GC,0,2,1,0,0,0,0,0,0,0,0,0,,14,0.1,0.2,362
Ir@Co3O4,Co,1,0,0,0,0,0,2,0,0,GC,0,3,0,0,0,0,0,0,0,0,0,0,,13,0.1,0.285,365
NiCo2O4/NF,Co,1,0,0,0,0,0,7,1,1,NF,0,2,1,0,0,0,0,0,0,0,0,0,2.428571429,13,0.1,0.57,370
CoO-Co/NCNT,Co,1,0,1,1,1,0,3,2,0,GC,0,2,0,0,0,0,0,0,0,0,0,0,2.57,14,1,0.21,380
O-S-Co5.47N@N-RGO,Co,1,1,1,4,1,1,3,0,0,GC,16,5.47,0,0,0,0,0,0,0,0,0,0,2.428571429,13,0.1,0.2,380
NiCo2O4/GN,Co,1,0,1,2,0,0,6,0,1,GC,0,2,1,0,0,0,0,0,0,0,0,0,5.243445693,14,1,25.5,383
NiCo2O4/VN,Co,1,1,0,0,0,0,3,0,0,GC,0,2,1,0,0,0,0,0,0,1,0,0,,14,1,,385
Co3O4/C,Co,1,0,1,3,0,0,2,0,1,GC,0,3,0,0,0,0,0,0,0,0,0,0,5.25,13,0.1,0.2,387
Co-CoO/N-rGO,Co,1,0,1,4,1,0,2,2,1,GC,0,2,0,0,0,0,0,0,0,0,0,0,,13,0.1,0.21,390
Co@Co4N/MnO-NC,Co,1,1,1,3,1,0,4,0,1,GC,0,0.955,0,0,0,0.045,0,0,0,0,0,0,5.6,14,1,0.36,390
TiN@Co3O4,Co,1,1,0,0,0,0,4,3,1,TM_based,0,3,0,0,0,0,0,0,0,0,0,1,3.5,14,1,0.27,390
Co3O4,Co,1,0,0,0,0,0,7,3,0,TM_based,0,3,0,0,0,0,0,0,0,0,0,0,4.55,13,0.1,0.4,392
Co-Fe-N,Co,1,1,0,0,0,0,1,0,0,GC,0,4,0,4,0,0,0,0,0,0,0,0,4.4,14,1,0.24,397
NiCo2O4/Ti4O7,Co,1,0,0,0,0,0,7,0,0,GC,0,2,1,0,0,0,0,0,0,0,0,4,2.71,14,1,,398
CoO/Co4N/NF,Co,1,1,0,0,0,0,2,1,1,NF,0,5,0,0,0,0,0,0,0,0,0,0,2.928571429,7.4,1,3.8,398
Co3O4,Co,1,0,1,3,0,0,2,0,1,TM_based,0,3,0,0,0,0,0,0,0,0,0,0,,13,0.1,0.2,398
Co–Fe–O/rgo,Co,1,0,1,4,0,0,3,0,0,GC,0,1,0,1,0,0,0,0,0,0,0,0,2.571428571,14,1,0.1,400
Co3O4/NrGO,Co,1,0,1,4,1,0,3,0,0,GC,0,3,0,0,0,0,0,0,0,0,0,0,1.5,14,1,0.14,400
NiCo2O4–N-CNT,Co,1,0,1,1,1,0,3,0,1,GC,0,2,1,0,0,0,0,0,0,0,0,0,1.166666667,13,0.1,0.24,406
Co3O4,Co,1,0,0,0,0,0,2,3,1,TM_based,0,3,0,0,0,0,0,0,0,0,0,0,2.571428571,13,0.1,,408
CuCo2O4/NrGO,Co,1,0,1,4,1,0,3,0,0,GC,0,2,0,0,0,0,1,0,0,0,0,0,2.428571429,14,0.1,0.14,410
Co3O4/NF,Co,1,0,0,0,0,0,6,1,1,NF,0,3,0,0,0,0,0,0,0,0,0,0,2.57,13,0.1,0.57,410
NiCo2O4/C,Co,1,0,1,3,0,0,7,0,0,GC,0,2,1,0,0,0,0,0,0,0,0,0,,14,1,,414
NiCo2O4/C,Co,1,0,1,3,0,0,3,0,0,GC,0,2,1,0,0,0,0,0,0,0,0,0,4.714285714,14,1,,418
ZnCo2O4/CF,Co,1,0,1,1,0,0,2,2,0,carbon_based,0,2,0,0,0,0,0,1,0,0,0,0,3.5,14,1,,419
Co–Fe–O,Co,1,0,0,0,0,0,3,0,0,GC,0,2,0,1,0,0,0,0,0,0,0,0,,14,1,0.1,420
CG-CoO,Co,1,0,1,3,0,0,6,2,0,GC,0,1,0,0,0,0,0,0,0,0,0,0,4,14,1,0.7,420
Co@Co3O4/NC-CNT,Co,1,0,1,1,1,0,4,0,1,GC,0,4,0,0,0,0,0,0,0,0,0,0,2.428571429,14,1,0.21,420
Co@Co4N/H-MnO-NC,Co,1,1,1,3,1,0,4,0,1,GC,0,0.7374,0,0,0,0.2626,0,0,0,0,0,0,2.571428571,14,1,0.36,420
CoO@OMC,Co,1,0,1,3,0,0,3,2,1,GC,0,1,0,0,0,0,0,0,0,0,0,0,3.5,14,1,0.567,420
S-CoO@N-RGO,Co,1,0,1,4,1,1,3,0,0,GC,16,1,0,0,0,0,0,0,0,0,0,0,1.5,13,0.1,0.2,426
Co@Co4N-NC,Co,1,1,1,3,1,0,4,0,1,GC,0,1,0,0,0,0,0,0,0,0,0,0,2.428571429,14,1,0.36,440
Co3O4/NrGO,Co,1,0,1,4,1,0,3,0,0,GC,0,3,0,0,0,0,0,0,0,0,0,0,2.57,14,0.1,0.14,440
NiCo2O4/graphene,Co,1,0,1,2,0,0,7,0,1,GC,0,2,1,0,0,0,0,0,0,0,0,0,3.333333333,13,0.1,0.407,440
NiCo2O4/rGO,Co,1,0,1,4,0,0,7,0,1,GC,0,2,1,0,0,0,0,0,0,0,0,0,,13,0.1,1.167,450
Fe2Ni2N,Fe,0,1,0,0,0,0,7,1,1,TM_based,0,0,2,2,0,0,0,0,0,0,0,0,,14,1,,200
FeCoCrOx,Fe,0,0,0,0,0,0,8,0,0,GC,0,1,0,1,0,0,0,0,1,0,0,0,,14,1,0.4,245
CoFe(1:1)-N,Fe,0,1,0,0,0,0,7,0,1,GC,0,1,0,1,0,0,0,0,0,0,0,0,6.75,14,1,0.458,250
Ni-Fe-O,Fe,0,0,0,0,0,0,7,0,0,TM_based,0,0,1,1,0,0,0,0,0,0,0,0,0.6666666667,14,1,,260
FeGaOx,Fe,0,0,0,0,0,1,8,0,0,NF,31,0,0,1,0,0,0,0,0,0,0,0,,14,1,0.4,262
Co0.15Fe0.85N0.5,Fe,0,1,0,0,0,0,7,0,0,GC,0,0.169,0,0.831,0,0,0,0,0,0,0,0,,14,1,0.2,266
Fe3N,Fe,0,1,0,0,0,0,2,0,0,NF,0,0,0,3,0,0,0,0,0,0,0,0,,14,1,1,282
NiFeOx,Fe,0,0,0,0,0,0,7,0,0,NF,0,0,1,1,0,0,0,0,0,0,0,0,5.6,0,0.5,,282
Co0.2Fe0.8N0.5,Fe,0,1,0,0,0,0,7,0,0,GC,0,0.207,0,0.793,0,0,0,0,0,0,0,0,6,14,1,0.2,291
NiCrFeO4,Fe,0,0,0,0,0,0,2,0,1,GC,0,0,1,1.8,0,0,0,0,1.51,0,0,0,,14,1,0.665,298
Co0.1Fe0.9N0.5,Fe,0,1,0,0,0,0,7,0,0,GC,0,0.109,0,0.891,0,0,0,0,0,0,0,0,,14,1,0.2,300
FeCoOx,Fe,0,0,0,0,0,0,8,0,0,GC,0,1,0,1,0,0,0,0,0,0,0,0,,14,1,0.4,301
NiFe2O4,Fe,0,0,0,0,0,0,6,0,0,carbon_based,0,0,1,2,0,0,0,0,0,0,0,0,3.5,14,1,1,302
FeOx,Fe,0,0,0,0,0,0,8,0,0,NF,0,0,0,1,0,0,0,0,0,0,0,0,,14,1,0.4,313
Co0.05Fe0.95N0.5,Fe,0,1,0,0,0,0,7,0,0,GC,0,0.054,0,0.946,0,0,0,0,0,0,0,0,2.428571429,14,1,0.2,320
NiCr0.5Fe1.5O4,Fe,0,0,0,0,0,0,3,0,0,GC,0,0,1,1.5,0,0,0,0,0.5,0,0,0,,14,1,,320
NiFe2O4,Fe,0,0,0,0,0,0,2,0,1,GC,0,0,1,2,0,0,0,0,0,0,0,0,1.6,14,1,0.665,330
Fe2Ni2N,Fe,0,1,0,0,0,0,3,0,0,carbon_based,0,0,2,2,0,0,0,0,0,0,0,0,,13,0.1,2.6,335
NiFeOx,Fe,0,0,0,0,0,0,7,0,0,NF,0,0,1,1,0,0,0,0,0,0,0,0,,14,1,,335
Fe2Ni2N,Fe,0,1,0,0,0,0,3,0,0,GC,0,0,2,2,0,0,0,0,0,0,0,0,5,14,1,0.408,340
CoFe(1:3)-N,Fe,0,1,0,0,0,0,7,0,1,GC,0,1,0,3,0,0,0,0,0,0,0,0,1.785714286,14,1,0.458,340
NiFe2O4,Fe,0,0,0,0,0,0,2,0,1,GC,0,0,1,2,0,0,0,0,0,0,0,0,,14,1,0.12,342
FeCrOx,Fe,0,0,0,0,0,0,8,0,0,GC,0,0,0,1,0,0,0,0,1,0,0,0,2.428571429,14,1,0.4,344
CoFe2O4,Fe,0,0,0,0,0,0,8,1,1,NF,0,1,0,2,0,0,0,0,0,0,0,0,,14,1,1.03,350
NiCr0.8Fe1.2O4,Fe,0,0,0,0,0,0,3,0,0,GC,0,0,1,1.2,0,0,0,0,0.8,0,0,0,,14,1,,360
Fe1N0.5,Fe,0,1,0,0,0,0,7,0,0,GC,0,0,0,0,0,0,0,0,0,0,0,0,2.57,14,1,0.2,365
FeGaOx,Fe,0,0,0,0,0,1,8,0,0,TM_based,31,0,0,1,0,0,0,0,0,0,0,0,2,14,1,0.4,377
FeGaOx,Fe,0,0,0,0,0,1,8,0,0,GC,31,0,0,1,0,0,0,0,0,0,0,0,2.142857143,14,1,0.4,381
Fe2N,Fe,0,1,0,0,0,0,3,2,0,GC,0,0,0,2,0,0,0,0,0,0,0,0,2.57,14,1,0.5,400
NiFe2O4,Fe,0,0,0,0,0,0,3,0,0,GC,0,0,1,2,0,0,0,0,0,0,0,0,,14,1,,401
FeOx,Fe,0,0,0,0,0,0,8,0,0,TM_based,0,0,0,1,0,0,0,0,0,0,0,0,2.571428571,14,1,0.4,407
NiFe2O4,Fe,0,0,0,0,0,0,3,0,0,carbon_based,0,0,1,2,0,0,0,0,0,0,0,0,,13,0.1,2.6,410
Co-Fe2N,Fe,0,1,0,0,0,0,3,0,0,carbon_based,0,1,0,2,0,0,0,0,0,0,0,0,4,14,1,,412
Fe2N,Fe,0,1,0,0,0,0,3,0,0,carbon_based,0,0,0,2,0,0,0,0,0,0,0,0,7,14,1,,451
NiFeOx/NF,Fe,1,0,0,0,0,0,7,1,1,NF,0,0,1,1,0,0,0,0,0,0,0,0,,14,1,,227
NiCo/Fe3O4,Fe,1,0,0,0,0,0,3,0,1,GC,0,1,1,3,0,0,0,0,0,0,0,0,,14,1,0.764,238
Fe3N/Fe4N,Fe,1,1,1,2,0,0,5,1,1,NF,0,0,0,7,0,0,0,0,0,0,0,0,4.65,14,1,4,238
FeNiNx/CC,Fe,1,1,1,3,0,0,2,2,0,carbon_based,0,0,1,1,0,0,0,0,0,0,0,0,,14,1,,240
Fe3N@Ni2Co-LDHs,Fe,1,1,0,0,0,0,4,0,1,NF,0,1,2,3,0,0,0,0,0,0,0,0,6,14,1,1,240
CoFe2O4/C,Fe,1,0,1,3,0,0,6,1,1,NF,0,1,0,2,0,0,0,0,0,0,0,0,4.857142667,14,1,1.03,240
NiFex/NiFe2O4@NC,Fe,1,0,1,2,1,0,6,0,1,carbon_based,0,0,2,3,0,0,0,0,0,0,0,0,,14,1,1,262
S-NiFe2O4/NF,Fe,1,0,0,0,0,1,7,1,1,NF,16,0,1,2,0,0,0,0,0,0,0,0,6.75,14,1,,267
P-Fe3N@NC/IF,Fe,1,1,1,3,1,1,3,3,1,TM_based,15,0,0,3,0,0,0,0,0,0,0,0,1.5,14,1,,270
FeMnO/CC,Fe,1,0,0,0,0,0,7,2,1,carbon_based,0,0,0,1,0,1,0,0,0,0,0,0,,14,1,1.6,273
S-Fe3O4/NF,Fe,1,0,0,0,0,1,7,1,1,NF,16,0,0,3,0,0,0,0,0,0,0,0,,14,1,,279
FeCo-Co4N/NC,Fe,1,1,1,3,1,0,3,0,1,GC,0,1,0,1.461,0,0,0,0,0,0,0,0,6,14,1,0.3,280
Fe2Ni2N/CNT,Fe,1,1,1,1,0,0,3,0,0,GC,0,0,2,2,0,0,0,0,0,0,0,0,5.6,14,1,0.408,282
NiFeOx,Fe,1,0,0,0,0,0,7,1,1,NF,0,0,1,1,0,0,0,0,0,0,0,0,6.75,14,1,,285
Fe2Ni2N/rGO,Fe,1,1,1,4,0,0,6,0,0,carbon_based,0,0,2,2,0,0,0,0,0,0,0,0,3.5,13,0.1,2.6,290
Ni1.5Fe1.5-O,Fe,1,0,0,0,0,0,2,1,1,NF,0,0,1.5,1.5,0,0,0,0,0,0,0,0,7,14,1,0.15,290
CoAl-Fe2N/Fe3N,Fe,1,1,0,0,0,1,3,2,0,carbon_based,13,1,0,5,0,0,0,0,0,0,0,0,2.428571429,14,1,,307
Fe-NiOx,Fe,1,0,0,0,0,0,2,0,0,GC,0,0,1,1,0,0,0,0,0,0,0,0,,14,1,0.4,310
CoFe2O4/C,Fe,1,0,1,3,0,0,8,1,1,NF,0,1,0,2,0,0,0,0,0,0,0,0,,14,1,1.03,315
Ir/Fe4N,Fe,1,1,0,0,0,0,4,0,0,GC,0,0,0,4,0,0,0,0,0,0,0,0,6,0,0.5,0.152,316
Ni1Fe2-O,Fe,1,0,0,0,0,0,2,1,1,NF,0,0,1,2,0,0,0,0,0,0,0,0,,14,1,0.15,316
Co2.6Fe7.4Ox,Fe,1,0,1,2,1,0,7,0,1,GC,0,2.6,0,7.4,0,0,0,0,0,0,0,0,5.6,14,1,0.357,328
NiFe2O4/NF,Fe,1,0,0,0,0,0,7,1,1,NF,0,0,1,2,0,0,0,0,0,0,0,0,5.6,14,1,,343
Fe2O3@Ni2Co-LDH,Fe,1,0,0,0,0,0,4,0,1,NF,0,1,2,2,0,0,0,0,0,0,0,0,,14,1,1,344
Fe2O3/IF,Fe,1,0,0,0,0,0,7,3,1,TM_based,0,0,0,2,0,0,0,0,0,0,0,0,6,14,1,,350
