Compound,Compound Class,Composite (Y or N),Oxided or nitrided,Presence of Carbon,Carbon Structures,N-doped Carbon Structure (0 or 1),Doping (other than TMs),Morphology Category,Grown on,"Porous - 1, Non-Porous - 0",Substrates,Presence of atoms (other than TMs),Cobalt atoms,Nickel atoms,Iron atoms,Molybdenum atoms,Manganese atoms,Copper atoms,Zinc atoms,Chromium Atoms,Vanadium Atoms,Tungsten atoms,Titanium atoms,Average d electrons,pH,Concentration Electrolyte,Catalyst Loading (mg/cm2),Overpotential (mV)
Fe-NiOx,Fe,1,0,0,0,0,0,7,0,0,GC,0,0,1,1,0,0,0,0,0,0,0,0,5.918083462,14,1,0.4,355
Co4.5Fe5.5Ox,Fe,1,0,1,2,1,0,7,0,1,GC,0,4.5,0,5.5,0,0,0,0,0,0,0,0,,14,1,0.357,356
Fe2N/S/N,Fe,1,1,1,2,1,1,3,0,1,carbon_based,16,0,0,2,0,0,0,0,0,0,0,0,6,14,1,0.4,360
Co3Fe7@Fe2N/rGO,Fe,1,1,1,4,0,0,4,0,1,GC,0,3,0,9,0,0,0,0,0,0,0,0,6.75,14,1,0.714,371
Fe2N/r-GO,Fe,1,1,1,4,0,0,3,0,1,NF,0,0,0,2,0,0,0,0,0,0,0,0,,14,1,0.5,375
Fe2O3/NF,Fe,1,0,0,0,0,0,7,1,1,NF,0,0,0,2,0,0,0,0,0,0,0,0,,14,1,0.05,378
Co0.77Fe9.23Ox,Fe,1,0,1,2,1,0,7,0,1,GC,0,0.77,0,9.23,0,0,0,0,0,0,0,0,2.428571429,14,1,0.357,380
Al-Fe2N/Fe3N,Fe,1,1,0,0,0,1,3,0,0,carbon_based,13,0,0,5,0,0,0,0,0,0,0,0,,14,1,,389
Co–Fe–O/rgo,Fe,1,0,1,4,0,0,3,0,0,GC,0,1,0,4,0,0,0,0,0,0,0,0,2.428571429,14,1,0.1,390
FexN/CC,Fe,1,1,1,3,0,0,2,2,0,carbon_based,0,0,0,1,0,0,0,0,0,0,0,0,2.885714286,14,1,,407
Fe2N/N-G,Fe,1,1,1,2,1,0,6,0,0,GC,0,0,0,2,0,0,0,0,0,0,0,0,,14,1,0.1,440
Pd/NiFeOx,Ni,0,0,0,0,0,1,7,0,1,NF,46,0,1,0.101,0,0,0,0,0,0,0,0,,14,1,,180
Ni3FeN,Ni,0,1,0,0,0,0,6,2,1,GC,0,0,3,1,0,0,0,0,0,0,0,0,6,14,1,0.5,190
Ni3FeN,Ni,0,1,0,0,0,0,3,0,0,GC,0,0,3,1,0,0,0,0,0,0,0,0,6,14,1,0.25,210
Pd/NiO,Ni,0,0,0,0,0,1,7,0,1,NF,46,0,1,0,0,0,0,0,0,0,0,0,7,0,0.5,,217
NiMoO4,Ni,0,1,0,0,0,0,2,1,1,GC,0,0,1,0,1,0,0,0,0,0,0,0,6,14,1,0.28,241
Ni0.6Fe0.3Cr0.1Ox,Ni,0,0,0,0,0,0,5,0,1,GC,0,0,0.6,0.3,0,0,0,0,0.1,0,0,0,,14,1,2,251
Ni3N/CC,Ni,0,1,0,0,0,0,7,2,1,GC,0,0,3,0,0,0,0,0,0,0,0,0,6,14,1,,256
Ni3FeN,Ni,0,1,0,0,0,0,6,0,1,GC,0,0,3,1,0,0,0,0,0,0,0,0,6,14,1,0.203,259
Ni3FeN,Ni,0,1,0,0,0,0,7,0,0,GC,0,0,3,1,0,0,0,0,0,0,0,0,6.1666665,14,1,,261
FeNi3N,Ni,0,1,0,0,0,0,3,0,0,GC,0,0,3,1,0,0,0,0,0,0,0,0,5,14,1,0.425,270
Ni2Mo3N,Ni,0,1,0,0,0,0,8,0,0,GC,0,0,2,0,3,0,0,0,0,0,0,0,4.5,13,0.1,0.124,270
Ni0.6Fe0.4Ox,Ni,0,0,0,0,0,0,5,0,0,GC,0,0,0.6,0.4,0,0,0,0,0,0,0,0,6,14,1,2,272
Ni3FeN,Ni,0,1,0,0,0,0,3,0,1,GC,0,0,3,1,0,0,0,0,0,0,0,0,2.428571429,14,1,0.203,279
Ni3FeN,Ni,0,1,0,0,0,0,1,0,0,GC,0,0,3,1,0,0,0,0,0,0,0,0,6,14,1,0.25,280
Ni3FeN,Ni,0,1,0,0,0,0,3,0,0,NF,0,0,2.83,1.03,0,0,0,0,0,0,0,0,,14,1,0.35,280
Pd/NiO,Ni,0,0,0,0,0,1,7,0,1,NF,46,0,1,0,0,0,0,0,0,0,0,0,2.428571429,14,1,,290
PF/Ni3N,Ni,0,1,0,0,0,1,2,0,1,GC,15,0,3,0,0,0,0,0,0,0,0,0,6,14,1,0.27,300
Ni3FeN,Ni,0,1,0,0,0,0,3,0,0,NF,0,0,3,2,0,0,0,0,0,0,0,0,6,14,1,0.8,300
Ni3N,Ni,0,1,0,0,0,0,7,0,0,TM_based,0,0,3,0,0,0,0,0,0,0,0,0,,14,1,,300
Co-Ni3N,Ni,0,1,0,0,0,0,2,2,0,carbon_based,0,1,3,0,0,0,0,0,0,0,0,0,2.57,14,1,0.085,307
Pd/NiFeOx,Ni,0,0,0,0,0,1,7,0,1,NF,46,0,1,0.101,0,0,0,0,0,0,0,0,1.16,7.4,1,,310
Ni3N,Ni,0,1,0,0,0,0,6,0,1,GC,0,0,3,0,0,0,0,0,0,0,0,0,,14,1,0.203,315
Ni3FeN,Ni,0,1,0,0,0,0,6,0,0,GC,0,0,3,1,0,0,0,0,0,0,0,0,6,14,1,0.1,320
Ni3FeN,Ni,0,1,0,0,0,0,1,0,0,NF,0,0,3,1,0,0,0,0,0,0,0,0,,14,1,0.35,320
NiO,Ni,0,0,1,3,0,0,6,0,0,NF,0,0,1,0,0,0,0,0,0,0,0,0,2.57,14,1,1,328
NaNiO2,Ni,0,0,0,0,0,1,8,0,0,NF,11,0,1,0,0,0,0,0,0,0,0,0,3.5,14,1,0.13,330
NiCo2O4,Ni,0,0,0,0,0,0,7,0,0,GC,0,2,1,0,0,0,0,0,0,0,0,0,5.6,14,1,0.35,333
Ni3N,Ni,0,1,0,0,0,0,4,0,1,NF,0,0,3,0,0,0,0,0,0,0,0,0,1.785714286,14,1,1.2,335
NiO,Ni,0,0,0,0,0,0,7,0,0,NF,0,0,1,0,0,0,0,0,0,0,0,0,,14,1,,335
Ni1.5Co1.5N,Ni,0,1,0,0,0,0,7,0,0,GC,0,1.5,1.5,0,0,0,0,0,0,0,0,0,5.625,14,1,0.27,340
Ni3N,Ni,0,1,0,0,0,0,3,2,0,GC,0,0,3,0,0,0,0,0,0,0,0,0,6,14,1,0.5,340
PF/Co0.75Ni2.25N,Ni,0,1,0,0,0,1,2,0,1,GC,15,0.75,2.25,0,0,0,0,0,0,0,0,0,,14,1,0.27,340
Ni3N,Ni,0,1,0,0,0,0,7,0,0,GC,0,0,3,0,0,0,0,0,0,0,0,0,6,13.8,1,0.25,340
CoNi(1:1)-N,Ni,0,1,0,0,0,0,7,0,1,GC,0,1,1,0,0,0,0,0,0,0,0,0,0.3333333333,14,1,0.458,350
Ni3FeOx,Ni,0,0,0,0,0,0,6,0,1,GC,0,0,3,1,0,0,0,0,0,0,0,0,,14,1,0.203,352
Ni3FeN,Ni,0,1,0,0,0,0,3,0,1,GC,0,0,2.76,1,0,0,0,0,0,0,0,0,1.333333333,13,0.1,0.13,355
NiMoO4,Ni,0,0,0,0,0,0,7,0,1,NF,0,0,1,0,1,0,0,0,0,0,0,0,5.6,14,1,7,359
Ni3N,Ni,0,1,0,0,0,0,3,0,1,GC,0,0,3,0,0,0,0,0,0,0,0,0,6,13,0.1,0.12,360
Ni3N,Ni,0,1,0,0,0,0,8,0,0,GC,0,0,3,0,0,0,0,0,0,0,0,0,,13,0.1,0.124,360
Ni3FeN,Ni,0,1,0,0,0,0,3,0,0,NF,0,0,3,1,0,0,0,0,0,0,0,0,2.285714286,14,1,0.5,362
NiO,Ni,0,0,0,0,0,0,7,0,0,NF,0,0,1,0,0,0,0,0,0,0,0,0,4,0,0.5,,370
Ni3N,Ni,0,1,0,0,0,0,7,1,1,GC,0,0,3,0,0,0,0,0,0,0,0,0,,14,1,0.28,372
Ni3N,Ni,0,1,0,0,0,0,3,0,0,GC,0,0,3,0,0,0,0,0,0,0,0,0,,14,1,0.284,388
NiMoO4,Ni,0,0,0,0,0,0,8,0,0,GC,0,0,1,0,1,0,0,0,0,0,0,0,5.285714286,13,0.1,0.124,390
Ni3N,Ni,0,1,0,0,0,0,2,0,0,carbon_based,0,0,3,0,0,0,0,0,0,0,0,0,1.857142857,14,1,0.085,397
CoNi(1:3)-N,Ni,0,1,0,0,0,0,7,0,1,GC,0,1,3,0,0,0,0,0,0,0,0,0,5.5,14,1,0.458,410
NiO,Ni,0,0,0,0,0,0,6,0,1,GC,0,0,1,0,0,0,0,0,0,0,0,0,3.5,14,1,0.203,415
NiO,Ni,0,0,0,0,0,0,2,0,0,GC,0,0,1,0,0,0,0,0,0,0,0,0,5.033333333,14,1,0.4,418
NiO,Ni,0,0,0,0,0,0,6,0,0,NF,0,0,1,0,0,0,0,0,0,0,0,0,4,14,1,0.12,420
NiO,Ni,0,0,0,0,0,0,7,0,0,GC,0,0,1,0,0,0,0,0,0,0,0,0,2.57,14,1,0.35,425
NiO,Ni,0,0,0,0,0,0,6,0,0,GC,0,0,1,0,0,0,0,0,0,0,0,0,6,13,0.1,0.2,427
Ni3N,Ni,0,1,0,0,0,0,3,0,0,NF,0,0,3,0,0,0,0,0,0,0,0,0,6.3,14,1,0.35,430
NiFeOOH/Ni3FeN/Ni,Ni,1,1,0,0,0,0,6,0,0,GC,0,0,5,1,0,0,0,0,0,0,0,0,5.6,14,1,0.352,200
FeNi3N/NF,Ni,1,1,0,0,0,0,2,1,1,NF,0,0,3,1,0,0,0,0,0,0,0,0,6,14,1,,202
Ni2CoN,Ni,1,1,1,3,0,0,2,2,0,carbon_based,0,1,2,0,0,0,0,0,0,0,0,0,5.75,14,1,2,214
Ni−Ni0.2Mo0.8N,Ni,1,1,0,0,0,0,2,1,1,GC,0,0,1.2,0,0.8,0,0,0,0,0,0,0,5.4,14,1,0.28,218
Ni3FeN/NF,Ni,1,1,0,0,0,0,7,1,1,NF,0,0,3,1,0,0,0,0,0,0,0,0,2.428571429,14,1,1.6,223
NiFeMoN,Ni,1,1,0,0,0,0,2,0,1,carbon_based,0,0,0.76,0.24,1,0,0,0,0,0,0,0,6.26,14,1,3.5,228
Ni3N/Ni@Ni3N/CC,Ni,1,1,1,3,0,0,4,2,0,carbon_based,0,0,7,0,0,0,0,0,0,0,0,0,6.666666667,14,1,,229
NiFeOOH/Ni3FeN,Ni,1,1,0,0,0,0,3,0,0,GC,0,0,4,1,0,0,0,0,0,0,0,0,,14,1,0.352,230
NiFeMoN,Ni,1,1,0,0,0,0,2,0,1,carbon_based,0,0,0.76,0.24,1,0,0,0,0,0,0,0,6.26,14,1,4.5,231
NC–NiCu–NiCuN,Ni,1,1,1,3,1,0,2,1,1,NF,0,0,2,0,0,0,2,0,0,0,0,0,,14,1,1.5,232
Ni-NiO/N-rGO,Ni,1,0,1,4,1,0,3,2,0,GC,0,0,2,0,0,0,0,0,0,0,0,0,2.428571429,13,0.1,0.21,240
Ni/NiO/NiCo2O4–N-CNT,Ni,1,0,1,1,1,0,3,0,1,GC,0,2,3,0,0,0,0,0,0,0,0,0,,14,1,0.24,240
Ni3FeN/CC,Ni,1,1,1,3,0,0,3,2,1,carbon_based,0,0,3,1,0,0,0,0,0,0,0,0,1.333333333,14,1,,241
FeOOH/Ni3N/CC,Ni,1,1,1,3,0,0,2,2,0,carbon_based,0,0,2.4,1,0,0,0,0,0,0,0,0,,14,1,,244
Ni2Fe1-O,Ni,1,0,0,0,0,0,2,0,1,GC,0,0,2,1,0,0,0,0,0,0,0,0,,14,1,0.15,244
CoN/Ni3N/CC,Ni,1,1,1,3,0,0,4,2,0,carbon_based,0,1,3,0,0,0,0,0,0,0,0,0,4.033333333,14,1,2.1,247
Ni4Mo/MoO2,Ni,1,1,0,0,0,0,2,1,1,GC,0,0,4,0,2,0,0,0,0,0,0,0,4.75,14,1,0.28,247
Ni3N|Ni2P|BP,Ni,1,1,0,0,0,0,7,0,0,GC,15,0,5,0,0,0,0,0,0,0,0,0,5.5,13.8,1,0.25,247
NiFeMoN,Ni,1,1,0,0,0,0,2,0,1,carbon_based,0,0,0.76,0.24,1,0,0,0,0,0,0,0,,14,1,2.5,248
Ni3FeN/Ni3Fe,Ni,1,1,0,0,0,0,7,0,0,GC,0,0,6,2,0,0,0,0,0,0,0,0,6,14,1,,250
Ni3FeN/N-G,Ni,1,1,1,2,1,0,6,0,0,GC,0,0,3,1,0,0,0,0,0,0,0,0,,14,1,0.1,250
Ni2Fe2N/Ni3Fe@N doped -Carbon Shells,Ni,1,1,1,3,1,0,3,0,1,carbon_based,0,0,5,3,0,0,0,0,0,0,0,0,6.55,14,1,,251
NiFeMoN,Ni,1,1,0,0,0,0,2,0,1,carbon_based,0,0,0.76,0.24,1,0,0,0,0,0,0,0,,14,1,1,253
Ni2Fe1-O,Ni,1,0,0,0,0,0,2,0,1,GC,0,0,2,1,0,0,0,0,0,0,0,0,,14,1,0.2,256
Ni3N-NC,Ni,1,1,1,3,0,0,7,0,1,GC,0,0,3,0,0,0,0,0,0,0,0,0,3.5,13,0.1,0.12,260
Na0.08Ni0.9Fe0.1O2,Ni,1,0,0,0,0,1,8,0,0,NF,11,0,0.9,0.1,0,0,0,0,0,0,0,0,,14,1,0.13,260
NiCo@C-NiCoMoO/NF,Ni,1,0,1,2,1,0,7,1,1,NF,0,2.32,1.11,0,1,0,0,0,0,0,0,0,6,14,1,10.5,260
NiFeOx/NF,Ni,1,0,0,0,0,0,7,1,1,NF,0,0,1,1,0,0,0,0,0,0,0,0,,14,1,,260
Ni3Fe/Ni2Fe2N,Ni,1,1,0,0,0,0,3,0,1,carbon_based,0,0,5,3,0,0,0,0,0,0,0,0,3.285714286,14,1,,264
Ni2Fe2N@N-CS,Ni,1,1,1,3,1,0,3,0,1,carbon_based,0,0,2,2,0,0,0,0,0,0,0,0,5.6,14,1,,264
NiO/NiCo2O4,Ni,1,0,0,0,0,0,7,0,1,GC,0,2,2,0,0,0,0,0,0,0,0,0,,14,1,0.35,264
Ni2Fe1-O,Ni,1,0,0,0,0,0,2,0,1,GC,0,0,2,1,0,0,0,0,0,0,0,0,2.571428571,14,1,0.1,267
Ni3Fe/Ni3FeN,Ni,1,1,0,0,0,0,4,0,1,NF,0,0,5.8,2,0,0,0,0,0,0,0,0,5.583333333,14,1,0.8,268
NiO-Cr2O3,Ni,1,0,1,3,0,0,4,0,0,GC,0,0,1,0,0,0,0,0,2,0,0,0,,14,1,0.25,270
Co-Ni3N/NF,Ni,1,1,0,0,0,0,7,1,1,NF,0,0.15,2.85,0,0,0,0,0,0,0,0,0,,14,1,,270
Na0.01Ni0.9Fe0.1O2,Ni,1,0,0,0,0,1,8,0,0,NF,11,0,0.9,0.1,0,0,0,0,0,0,0,0,,14,1,0.13,270
Na0.41Ni0.9Fe0.1O2,Ni,1,0,0,0,0,1,8,0,0,NF,11,0,0.9,0.1,0,0,0,0,0,0,0,0,,14,1,0.13,270
Ni2Fe1-O,Ni,1,0,0,0,0,0,2,0,1,NF,0,0,2,1,0,0,0,0,0,0,0,0,5.166666667,14,1,5.4,270
Ni3FeN/r-GO,Ni,1,1,1,4,0,0,6,0,1,NF,0,0,3,1,0,0,0,0,0,0,0,0,6,14,1,0.5,270
Ni3N/CMFs/Ni3N,Ni,1,1,1,1,0,0,7,2,1,GC,0,0,6,0,0,0,0,0,0,0,0,0,6,14,1,0.306,273
Ni3N/CC,Ni,1,1,1,3,0,0,7,2,0,carbon_based,0,0,3,0,0,0,0,0,0,0,0,0,3.5,14,1,,274
NiMoN,Ni,1,1,0,0,0,0,2,0,1,carbon_based,0,0,1,0,1,0,0,0,0,0,0,0,3.333333333,14,1,3.5,276
Ni3N-NiMoN,Ni,1,1,1,3,0,0,7,2,0,carbon_based,0,0,4,0,1,0,0,0,0,0,0,0,3.928571429,14,1,1.63,277
NiCo-NiCoMoO/NF,Ni,1,0,0,0,0,0,7,1,1,NF,0,2.32,1.11,0,1,0,0,0,0,0,0,0,3.666666667,14,1,10.5,280
NC–Ni-NiN,Ni,1,1,1,3,1,0,2,1,1,NF,0,0,2,0,0,0,0,0,0,0,0,0,2.57,14,1,1.5,282
Ni3Fe/Ni3FeN,Ni,1,1,0,0,0,0,1,0,0,NF,0,0,5.8,2,0,0,0,0,0,0,0,0,2.428571429,14,1,0.8,287
NiN,Ni,1,1,1,3,0,0,3,2,0,carbon_based,0,0,1,0,0,0,0,0,0,0,0,0,3.5,14,1,2.3,290
NiCoNP,Ni,1,1,0,0,0,1,4,0,1,GC,15,1,1,0,0,0,0,0,0,0,0,0,2.57,14,1,0.27,290
NaNi0.9Fe0.1O2,Ni,1,0,0,0,0,1,8,0,0,NF,11,0,0.9,0.1,0,0,0,0,0,0,0,0,,14,1,0.13,290
Ni3N/BP,Ni,1,1,0,0,0,1,3,3,0,GC,15,0,3,0,0,0,0,0,0,0,0,0,,14,1,,292
Ni2Fe1-O,Ni,1,0,0,0,0,0,2,0,1,GC,0,0,2,1,0,0,0,0,0,0,0,0,,14,1,0.05,293
Co-NiMoN,Ni,1,1,0,0,0,0,2,0,1,NF,0,0.142,1,0,1,0,0,0,0,0,0,0,,14,1,3.5,294
NiO/Ni,Ni,1,0,0,0,0,0,6,1,1,TM_based,0,0,1,0,0,0,0,0,0,0,0,0,2.8,14,1,,294
NiMoO4–CoMoO4,Ni,1,0,0,0,0,0,4,0,1,NF,0,1,1,0,2,0,0,0,0,0,0,0,2.428571429,14,1,7,300
S-NiO/NF,Ni,1,0,0,0,0,0,7,1,1,NF,16,0,1,0,0,0,0,0,0,0,0,0,6.5,14,1,,306
NiOx/NiCo2O4/Co3O4,Ni,1,0,0,0,0,0,4,1,0,TM_based,0,2,5,0,0,0,0,0,0,0,0,0,6,14,1,,315
Ni3N/AG,Ni,1,1,1,2,0,0,3,2,0,GC,0,0,3,0,0,0,0,0,0,0,0,0,4.25,14,1,,317
Ni3N/r-GO,Ni,1,1,1,4,0,0,3,0,1,NF,0,0,3,0,0,0,0,0,0,0,0,0,2.5,14,1,0.5,318
NaNi0.8Fe0.2O2,Ni,1,0,0,0,0,1,8,0,0,NF,11,0,0.8,0.2,0,0,0,0,0,0,0,0,6,14,1,0.13,320
NiCoMoO/NF,Ni,1,0,0,0,0,0,7,1,1,NF,0,1,1,0,1,0,0,0,0,0,0,0,3.75,14,1,10.5,320
Ni3N-CNTs,Ni,1,1,1,1,0,0,7,2,1,GC,0,0,3,0,0,0,0,0,0,0,0,0,2.57,14,1,0.306,321
Ni3N/NF,Ni,1,1,0,0,0,0,6,1,1,NF,0,0,3,0,0,0,0,0,0,0,0,0,3.5,14,1,,325
Ni3N/Ni,Ni,1,1,0,0,0,0,4,0,1,NF,0,0,3,0,0,0,0,0,0,0,0,0,5.6,14,1,1.2,325
NiMoN,Ni,1,1,0,0,0,0,2,0,1,NF,0,0,1,0,1,0,0,0,0,0,0,0,,14,1,3.5,326
NaNi0.75Fe0.25O2,Ni,1,0,0,0,0,1,8,0,0,NF,11,0,0.75,0.25,0,0,0,0,0,0,0,0,3.5,14,1,0.13,330
MnO2/NiCo2O4/NF,Ni,1,0,0,0,0,0,7,1,1,NF,0,0.76,17.344,0,0,1,0,0,0,0,0,0,,14,1,,340
NiMoN,Ni,1,1,0,0,0,0,8,0,0,NF,0,0,1,0,1,0,0,0,0,0,0,0,,14,1,3,341
Ir/Ni4N,Ni,1,1,0,0,0,0,4,0,0,GC,0,0,4,0,0,0,0,0,0,0,0,0,,0,0.5,0.152,346
TiN@Ni3N,Ni,1,1,0,0,0,0,2,3,0,TM_based,0,0,3,0,0,0,0,0,0,0,0,1,,14,1,0.9,350
Ni3N/NF,Ni,1,1,0,0,0,0,7,1,1,NF,0,0,3,0,0,0,0,0,0,0,0,0,,14,1,,360
Ni3N-MPCs,Ni,1,1,1,3,0,0,7,2,1,GC,0,0,3,0,0,0,0,0,0,0,0,0,4,14,1,0.306,364
Ni/NiO/NiCo2O4–N-CNT,Ni,1,0,1,1,1,0,3,0,1,GC,0,2,3,0,0,0,0,0,0,0,0,0,2.428571429,13,0.1,0.24,370
Ni3FeN/Ni3Fe,Ni,1,1,0,0,0,0,1,0,0,GC,0,0,6,2,0,0,0,0,0,0,0,0,2,14,1,,375
Ni3N-Gr,Ni,1,1,1,2,0,0,7,2,1,GC,0,0,3,0,0,0,0,0,0,0,0,0,,14,1,0.306,377
NiOx,Ni,1,0,0,0,0,0,7,1,0,TM_based,0,0,1,0,0,0,0,0,0,0,0,0,3.071428571,14,1,,378
Ni3N/CC,Ni,1,1,1,3,0,0,2,2,0,carbon_based,0,0,3,0,0,0,0,0,0,0,0,0,2.57,14,1,,379
0.61NiMnO3/NiMn2O4,Ni,1,0,0,0,0,0,3,0,0,GC,0,0,1.89,0,0,3,0,0,0,0,0,0,6,13,0.1,0.24,380
NiN/CC,Ni,1,1,0,0,0,0,3,2,0,carbon_based,0,0,1,0,0,0,0,0,0,0,0,0,,14,1,2.5,390
NiCoO2@OMC,Ni,1,0,1,3,0,0,3,2,1,GC,0,1,1,0,0,0,0,0,0,0,0,0,,14,1,0.567,390
Ni/NiCo2O4–N-CNT,Ni,1,0,1,1,1,0,3,0,1,GC,0,2,2,0,0,0,0,0,0,0,0,0,6,13,0.1,0.24,392
Ni3FeN/NRGO,Ni,1,1,1,4,1,0,7,0,0,GC,0,0,3,1,0,0,0,0,0,0,0,0,,13,0.1,0.1,400
NiO-Ni/NCNT,Ni,1,0,1,1,1,0,3,2,0,GC,0,0,2,0,0,0,0,0,0,0,0,0,,14,1,0.21,400
Ni2CoO,Ni,1,0,0,0,0,0,6,0,1,GC,0,1,2,0,0,0,0,0,0,0,0,0,4.666666667,13,0.1,0.2,410
FeNi3N/NG,Ni,1,1,1,2,1,0,3,2,0,GC,0,0,3,1,0,0,0,0,0,0,0,0,2.428571429,13,0.1,0.51,410
1.57NiMnO3/NiMn2O4,Ni,1,0,0,0,0,0,3,0,0,GC,0,0,2.22,0,0,3,0,0,0,0,0,0,,13,0.1,0.24,430
3.11NiMnO3/NiMn2O4,Ni,1,0,0,0,0,0,3,0,0,GC,0,0,2.52,0,0,3,0,0,0,0,0,0,2.57,13,0.1,0.24,435
Ni3N/RGO,Ni,1,1,1,4,0,0,7,0,0,GC,0,0,3,0,0,0,0,0,0,0,0,0,4,13,0.1,0.1,440
MoO2,Other TMs,0,0,0,0,0,0,7,1,1,NF,0,0,0,0,1,0,0,0,0,0,0,0,,14,1,2.9,260
Mn3N2,Other TMs,0,1,0,0,0,0,1,0,0,NF,0,0,0,0,0,3,0,0,0,0,0,0,2,14,1,3,270
Mn3N2,Other TMs,0,1,0,0,0,0,8,0,0,NF,0,0,0,0,0,3,0,0,0,0,0,0,1.5,14,1,3,270
Mn2O3,Other TMs,0,0,0,0,0,0,6,0,0,NF,0,0,0,0,0,2,0,0,0,0,0,0,2.57,14,1,3,330
MoO2,Other TMs,0,0,0,0,0,0,7,1,1,NF,0,0,0,0,1,0,0,0,0,0,0,0,,14,1,3.4,330
"Co,P-VN",Other TMs,0,1,0,0,0,1,2,0,0,carbon_based,15,0.01,0,0,0,0,0,0,0,1,0,0,,14,1,,335
VO2 (Anneal),Other TMs,0,0,0,0,0,0,3,2,0,carbon_based,0,0,0,0,0,0,0,0,0,1,0,0,5.6,14,1,,350
Mn3N2,Other TMs,0,1,0,0,0,0,1,0,0,TM_based,0,0,0,0,0,3,0,0,0,0,0,0,,14,1,1,390
Mn3N2,Other TMs,0,1,0,0,0,0,8,0,0,TM_based,0,0,0,0,0,3,0,0,0,0,0,0,,14,1,1,390
Co-VN,Other TMs,0,1,0,0,0,0,2,0,0,carbon_based,0,0.01,0,0,0,0,0,0,0,1,0,0,2.428571429,14,1,,395
P-VN,Other TMs,0,1,0,0,0,1,2,0,0,carbon_based,15,0,0,0,0,0,0,0,0,1,0,0,,14,1,,401
CrON,Other TMs,0,1,0,0,0,0,3,0,0,carbon_based,0,0,0,0,0,0,0,0,1,0,0,0,6.2,14,1,2,409
Mo3N2,Other TMs,0,1,0,0,0,0,2,0,0,GC,0,0,0,0,3,0,0,0,0,0,0,0,2.428571429,13,0.1,0.125,430
CrN,Other TMs,0,1,0,0,0,0,3,0,0,carbon_based,0,0,0,0,0,0,0,0,1,0,0,0,2.678571429,14,1,2,446
Mo2N,Other TMs,0,1,0,0,0,0,8,0,0,GC,0,0,0,0,2,0,0,0,0,0,0,0,2.57,13,0.1,0.124,450
TRGO@ZnO/Co3O4 (33% Co3O4),Other TMs,1,0,1,4,0,0,3,2,0,GC,0,0.88,0,0,0,0,0,1,0,0,0,0,,0,0.5,0.01,211
Ir0.6Cr0.4Ox-350,Other TMs,1,0,0,0,0,0,2,0,0,carbon_based,0,0,0,0,0,0,0,0,0.4,0,0,0,4.333333333,0,0.5,0.56,250
Ni@NCNT/NiMoN/NF,Other TMs,1,1,1,1,1,0,6,1,1,NF,0,0,3.62,0,6.13,0,0,0,0,0,0,0,6,14,1,41.3,261
MnOx/CNT/NF,Other TMs,1,0,1,1,0,0,6,1,1,NF,0,0,0,0,0,1,0,0,0,0,0,0,3,14,1,0.28,270
VN/CNT/IF,Other TMs,1,1,1,1,0,0,2,3,1,TM_based,0,0,0,0,0,0,0,0,0,1,0,0,,14,1,,270
VN/CNT/IF,Other TMs,1,1,1,1,0,0,2,3,1,TM_based,0,0,0,0,0,0,0,0,0,1,0,0,4.166666667,14,1,,270
Ni0.2Mo0.8N,Other TMs,1,1,0,0,0,0,2,0,0,carbon_based,0,0,0.2,0,0.8,0,0,0,0,0,0,0,2.590854392,14,1,3.5,295
TiN@NiO/CC,Other TMs,1,1,1,3,0,0,4,2,0,carbon_based,0,0,1,0,0,0,0,0,0,0,0,1,5.6,14,1,6.4,310
Co/VN,Other TMs,1,1,1,3,0,0,7,0,1,GC,0,1,0,0,0,0,0,0,0,1,0,0,,14,1,0.694,312
delta-MnO2,Other TMs,1,0,0,0,0,0,7,1,1,NF,0,0,0,0,0,1,0,0,0,0,0,0,,13.6,1,,320
NC–Cu-CuN,Other TMs,1,1,1,3,1,0,2,1,1,NF,0,0,0,0,0,0,2,0,0,0,0,0,4,14,1,1.5,334
TiN/CC,Other TMs,1,1,1,3,0,0,2,2,0,carbon_based,0,0,0,0,0,0,0,0,0,0,0,1,2.342857143,14,1,6.4,360
VN/CC,Other TMs,1,1,1,3,0,0,7,2,1,carbon_based,0,0,0,0,0,0,0,0,0,1,0,0,,14,1,1.83,373
MnOx/CNT,Other TMs,1,0,1,1,0,0,6,0,0,GC,0,0,0,0,0,1,0,0,0,0,0,0,5.25,14,1,0.28,379
Metal Ion Doped MnO2/CFP,Other TMs,1,0,1,1,0,0,7,2,1,carbon_based,0,0.016,0.002,0.109,0,1,0,0,0,0.109,0,0,3.75,14,1,800,390
CuO@FTO,Other TMs,1,0,0,0,0,0,5,3,0,TM_based,0,0,0,0,0,0,1,0,0,0,0,0,6,14,1,,436
Mn3O4/CoSe2,Other TMs,1,0,0,0,0,0,4,0,0,GC,34,1,0,0,0,3,0,0,0,0,0,0,6,13,0.1,0.2,450